Date,PnL,NAV
2016-01-02,-756.29,999243.71
2016-01-03,-3997.83,995245.88
2016-01-04,4233.44,999479.32
2016-01-05,2780.5,1002259.82
2016-01-06,-563.02,1001696.8
2016-01-07,2385.35,1004082.15
2016-01-08,1356.22,1005438.37
2016-01-09,4399.19,1009837.56
2016-01-11,-5258.39,1004579.17
2016-01-12,771.53,1005350.7
2016-01-13,498.46,1005849.16
2016-01-14,5032.98,1010882.14
2016-01-15,2878.83,1013760.97
2016-01-17,0.0,1013760.97
2016-01-18,-338.56,1013422.41
2016-01-19,2533.75,1015956.16
2016-01-20,4347.66,1020303.82
2016-01-21,-3175.32,1017128.5
2016-01-22,6238.81,1023367.31
2016-01-25,500.92,1023868.23
2016-01-26,-1519.24,1022348.99
2016-01-27,1426.05,1023775.04
2016-01-28,27.13,1023802.17
2016-01-29,1931.1,1025733.27
2016-01-31,397.92,1026131.19
2016-02-02,492.11,1026623.3
2016-02-03,223.34,1026846.64
2016-02-05,835.98,1027682.62
2016-02-06,1235.19,1028917.8099999999
2016-02-08,67.57,1028985.38
2016-02-09,148.16,1029133.54
2016-02-11,1022.46,1030156.0
2016-02-12,903.36,1031059.36
2016-02-14,-683.29,1030376.07
2016-02-15,-1641.78,1028734.29
2016-02-16,1449.63,1030183.92
2016-02-17,152.29,1030336.21
2016-02-18,749.82,1031086.03
2016-02-19,1615.48,1032701.51
2016-02-21,-869.15,1031832.36
2016-02-22,572.25,1032404.61
2016-02-23,-4282.71,1028121.9
2016-02-24,-1537.27,1026584.63
2016-02-25,-1157.17,1025427.46
2016-02-26,-828.66,1024598.8
2016-02-28,3104.49,1027703.29
2016-02-29,253.4,1027956.69
2016-03-02,361.52,1028318.21
2016-03-03,-889.21,1027429.0
2016-03-04,48.26,1027477.26
2016-03-05,2506.78,1029984.04
2016-03-06,-4516.44,1025467.6
2016-03-07,337.11,1025804.71
2016-03-08,3411.44,1029216.15
2016-03-10,-2482.46,1026733.69
2016-03-11,1157.66,1027891.35
2016-03-14,-755.46,1027135.89
2016-03-15,344.16,1027480.05
2016-03-16,3109.48,1030589.53
2016-03-17,2869.56,1033459.09
2016-03-18,19.48,1033478.57
2016-03-20,982.19,1034460.76
2016-03-21,2371.21,1036831.97
2016-03-22,703.62,1037535.59
2016-03-23,3890.52,1041426.11
2016-03-24,797.59,1042223.7
2016-03-25,884.35,1043108.05
2016-03-27,29.27,1043137.32
2016-03-28,568.78,1043706.1
2016-03-29,1306.21,1045012.3099999999
2016-03-30,4428.7,1049441.01
2016-03-31,1443.12,1050884.13
2016-04-02,-1059.91,1049824.22
2016-04-03,2032.53,1051856.75
2016-04-04,1359.69,1053216.44
2016-04-05,-654.81,1052561.63
2016-04-07,-481.49,1052080.14
2016-04-08,924.08,1053004.22
2016-04-10,-3292.03,1049712.19
2016-04-11,455.81,1050168.0
2016-04-12,2009.31,1052177.31
2016-04-13,-1784.57,1050392.74
2016-04-14,736.49,1051129.23
2016-04-15,108.89,1051238.1199999999
2016-04-17,4312.86,1055550.98
2016-04-18,-651.36,1054899.6199999999
2016-04-19,2857.72,1057757.34
2016-04-20,1930.51,1059687.85
2016-04-21,102.03,1059789.88
2016-04-22,-2716.54,1057073.34
2016-04-25,239.85,1057313.19
2016-04-26,-1836.9,1055476.29
2016-04-27,5445.83,1060922.1199999999
2016-04-28,426.14,1061348.26
2016-04-29,-227.57,1061120.69
2016-05-01,8564.57,1069685.26
2016-05-02,-189.53,1069495.73
2016-05-04,2591.16,1072086.89
2016-05-05,-2179.6,1069907.29
2016-05-06,-923.94,1068983.35
